epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7307,1.15015,2.09097,1.2021,0.45112,0.78899,0.48005,0.30801,1.12692,1.57044,1.23704,0.000545564,0.000545564,0.000545564
2,48.7873,1.14557,1.3077,1.20011,0.32462,0.63365,0.34518,0.20251,1.43014,2.68956,1.64265,0.00109033,0.00109033,0.00109033
3,73.9035,1.13519,1.24947,1.19631,0.14099,0.44197,0.12234,0.07592,1.37728,7.64421,1.45042,0.00162409,0.00162409,0.00162409
4,94.6125,1.1199,1.23855,1.18885,0.41281,0.5167,0.46637,0.29786,1.09323,2.21737,1.21002,0.00161749,0.00161749,0.00161749
5,118.473,1.09467,1.18239,1.17855,0.60231,0.62056,0.64511,0.40612,1.2555,1.37221,1.39965,0.00160099,0.00160099,0.00160099
6,142.117,1.04713,1.1118,1.15354,0.50533,0.71618,0.57969,0.40805,0.9711,1.26672,1.13825,0.00158448,0.00158448,0.00158448
7,166.857,1.0169,1.08101,1.13703,0.62644,0.8249,0.80254,0.61226,0.80384,1.05723,1.04568,0.00156798,0.00156798,0.00156798
8,190.734,0.98714,0.99627,1.1104,0.56829,0.59319,0.5947,0.44377,0.93332,1.5908,1.1042,0.00155148,0.00155148,0.00155148
9,211.858,0.95816,0.97859,1.1009,0.73692,0.79186,0.83353,0.61505,0.91909,0.86959,1.06483,0.00153497,0.00153497,0.00153497
10,235.495,0.957,0.93232,1.10003,0.72419,0.73341,0.81875,0.60818,0.93898,1.04043,1.11151,0.00151847,0.00151847,0.00151847
11,259.117,0.95714,0.90288,1.10014,0.85015,0.82352,0.91323,0.71742,0.74604,0.74965,1.01871,0.00150197,0.00150197,0.00150197
12,283.194,0.92037,0.86524,1.08472,0.8734,0.86168,0.92617,0.71082,0.79661,0.6883,1.02679,0.00148546,0.00148546,0.00148546
13,306.895,0.93137,0.85578,1.09479,0.90791,0.87345,0.94913,0.70553,0.87886,0.67221,1.06239,0.00146896,0.00146896,0.00146896
14,330.495,0.8946,0.82585,1.07197,0.90842,0.9237,0.95817,0.75495,0.75029,0.61089,1.04483,0.00145246,0.00145246,0.00145246
15,354.339,0.88362,0.78572,1.07098,0.93026,0.92265,0.96658,0.77699,0.73286,0.55924,0.99244,0.00143595,0.00143595,0.00143595
16,374.807,0.89258,0.77853,1.06167,0.86654,0.85076,0.92003,0.73038,0.79326,0.71207,1.01588,0.00141945,0.00141945,0.00141945
17,397.904,0.86576,0.73549,1.05441,0.88003,0.93984,0.96115,0.77703,0.6981,0.58215,0.97891,0.00140295,0.00140295,0.00140295
18,416.339,0.86014,0.71846,1.05557,0.9282,0.94528,0.97737,0.80341,0.66542,0.5082,0.96271,0.00138644,0.00138644,0.00138644
19,435.165,0.82865,0.71549,1.03759,0.95616,0.93988,0.97713,0.78561,0.72858,0.52083,1.01917,0.00136994,0.00136994,0.00136994
20,453.684,0.81956,0.6961,1.04305,0.93151,0.94513,0.96701,0.78621,0.72701,0.53055,0.97773,0.00135344,0.00135344,0.00135344
21,472.113,0.81404,0.66291,1.02964,0.83195,0.89179,0.93579,0.74915,0.74765,0.65572,0.99327,0.00133693,0.00133693,0.00133693
22,490.599,0.83004,0.68001,1.04132,0.91936,0.91032,0.95781,0.77959,0.71049,0.52266,1.01355,0.00132043,0.00132043,0.00132043
23,508.873,0.83016,0.66382,1.04382,0.95451,0.95812,0.98281,0.8075,0.70939,0.48173,0.97683,0.00130393,0.00130393,0.00130393
24,530.632,0.81121,0.64955,1.02934,0.93533,0.95203,0.96541,0.80118,0.65598,0.49693,0.96632,0.00128742,0.00128742,0.00128742
25,555.104,0.79834,0.64998,1.0247,0.90508,0.92559,0.96847,0.79967,0.66825,0.53125,0.98748,0.00127092,0.00127092,0.00127092
26,579.338,0.78919,0.62182,1.01724,0.96686,0.95297,0.97614,0.81421,0.68636,0.45596,0.95794,0.00125442,0.00125442,0.00125442
27,603.261,0.80441,0.623,1.02027,0.94711,0.93005,0.97394,0.81772,0.65085,0.467,0.9659,0.00123791,0.00123791,0.00123791
