epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9764,1.15071,1.87753,1.1926,0.50272,0.9032,0.58872,0.40294,1.02213,1.31266,1.16476,0.000550792,0.000550792,0.000550792
2,53.2786,1.16198,1.38387,1.20119,0.43392,0.73689,0.52698,0.34964,1.07073,1.74486,1.22342,0.00109551,0.00109551,0.00109551
3,78.4352,1.16974,1.37399,1.20184,0.50356,0.66428,0.55321,0.39627,1.01687,1.67252,1.15144,0.00162922,0.00162922,0.00162922
4,103.291,1.12732,1.27766,1.17801,0.38793,0.80132,0.529,0.37616,0.95671,1.54237,1.10406,0.00161749,0.00161749,0.00161749
5,126.972,1.1185,1.23114,1.18548,0.4826,0.90179,0.62864,0.4481,0.91024,1.16187,1.07484,0.00160099,0.00160099,0.00160099
6,151.631,1.07955,1.17195,1.15511,0.59294,0.74044,0.6561,0.47366,0.95782,1.05195,1.10487,0.00158448,0.00158448,0.00158448
7,182.627,1.03508,1.11047,1.14686,0.62329,0.87658,0.77376,0.56415,0.88471,0.97573,1.08612,0.00156798,0.00156798,0.00156798
8,235.358,0.9917,1.06525,1.10807,0.57173,0.90747,0.76246,0.57472,0.84681,0.94266,1.05293,0.00155148,0.00155148,0.00155148
9,278.663,0.97168,1.00753,1.11377,0.74051,0.86328,0.88589,0.68913,0.8345,0.80504,1.0482,0.00153497,0.00153497,0.00153497
10,333.741,0.96072,0.98875,1.09717,0.80278,0.87748,0.89861,0.68805,0.8342,0.76285,1.04765,0.00151847,0.00151847,0.00151847
11,356.718,0.95753,0.94805,1.09158,0.84949,0.87137,0.92301,0.70497,0.83011,0.72922,1.05276,0.00150197,0.00150197,0.00150197
12,379.63,0.94488,0.91041,1.09208,0.8781,0.86971,0.9246,0.73512,0.72482,0.70503,1.00866,0.00148546,0.00148546,0.00148546
13,406.48,0.92329,0.88208,1.08395,0.90005,0.87099,0.94853,0.7472,0.76086,0.64818,1.01811,0.00146896,0.00146896,0.00146896
14,429.549,0.90362,0.86193,1.07198,0.92305,0.90888,0.9674,0.7852,0.70887,0.60645,0.99393,0.00145246,0.00145246,0.00145246
15,453.038,0.89589,0.82781,1.06621,0.89504,0.88494,0.95798,0.77017,0.74011,0.67066,1.01076,0.00143595,0.00143595,0.00143595
16,476.663,0.87815,0.80546,1.06863,0.90045,0.87279,0.94607,0.77404,0.7215,0.65218,0.97747,0.00141945,0.00141945,0.00141945
17,520.024,0.8792,0.78583,1.06298,0.94288,0.91093,0.97382,0.79834,0.69646,0.55638,0.97905,0.00140295,0.00140295,0.00140295
18,575.665,0.8688,0.78611,1.06199,0.94218,0.9199,0.95292,0.77328,0.71384,0.59026,0.98852,0.00138644,0.00138644,0.00138644
19,612.921,0.86898,0.74855,1.04626,0.91455,0.8849,0.95699,0.76567,0.70526,0.65669,0.98465,0.00136994,0.00136994,0.00136994
20,635.377,0.87889,0.74848,1.06263,0.95809,0.95447,0.97089,0.81106,0.67066,0.51036,0.96488,0.00135344,0.00135344,0.00135344
21,657.837,0.83007,0.72664,1.03693,0.95168,0.93969,0.97371,0.79033,0.67733,0.53284,0.97633,0.00133693,0.00133693,0.00133693
22,679.981,0.8263,0.71017,1.03151,0.94525,0.95011,0.97967,0.79332,0.70811,0.51629,0.98032,0.00132043,0.00132043,0.00132043
23,702.054,0.83315,0.70007,1.03723,0.93332,0.94811,0.95844,0.78611,0.68335,0.52302,0.96962,0.00130393,0.00130393,0.00130393
24,724.212,0.82434,0.70776,1.03479,0.75595,0.75631,0.76941,0.62222,0.73783,1.0933,1.00772,0.00128742,0.00128742,0.00128742
25,746.623,0.79747,0.66705,1.02284,0.85751,0.80605,0.87684,0.72676,0.70537,0.85184,0.99058,0.00127092,0.00127092,0.00127092
26,769.386,0.8031,0.66618,1.02056,0.93378,0.94667,0.97206,0.81585,0.64093,0.50048,0.94343,0.00125442,0.00125442,0.00125442
27,792.343,0.79388,0.65064,1.01998,0.96356,0.92557,0.96815,0.81157,0.66833,0.48627,0.98234,0.00123791,0.00123791,0.00123791
28,815.502,0.79366,0.65308,1.02454,0.9224,0.95636,0.97416,0.82577,0.6251,0.50053,0.94298,0.00122141,0.00122141,0.00122141
29,838.521,0.79478,0.65511,1.02323,0.93549,0.93606,0.9734,0.79451,0.72347,0.49756,0.96857,0.00120491,0.00120491,0.00120491
